model,dataset_key,compression_ratio,fraction,blockwise,chunkkv,snapkv
llama31_8b_instruct,longbench:2wikimqa,0.3,1.0,50.04,50.1,51.1
llama31_8b_instruct,longbench:2wikimqa,0.4,1.0,49.05,51.54,51.71
llama31_8b_instruct,longbench:2wikimqa,0.5,0.01,0.0,0.0,0.0
llama31_8b_instruct,longbench:2wikimqa,0.5,1.0,49.52,49.77,50.98
llama31_8b_instruct,longbench:2wikimqa,0.6,1.0,49.62,48.7,51.15
llama31_8b_instruct,longbench:2wikimqa,0.7,1.0,49.02,47.79,50.92
llama31_8b_instruct,longbench:gov_report,0.3,1.0,33.99,34.19,33.71
llama31_8b_instruct,longbench:gov_report,0.4,1.0,33.71,33.62,33.5
llama31_8b_instruct,longbench:gov_report,0.5,0.01,33.86,34.34,31.57
llama31_8b_instruct,longbench:gov_report,0.5,1.0,32.83,33.43,32.64
llama31_8b_instruct,longbench:gov_report,0.6,1.0,31.81,32.35,31.41
llama31_8b_instruct,longbench:gov_report,0.7,1.0,30.56,31.08,30.47
llama31_8b_instruct,longbench:hotpotqa,0.3,1.0,58.82,58.31,59.43
llama31_8b_instruct,longbench:hotpotqa,0.4,1.0,58.96,59.16,59.19
llama31_8b_instruct,longbench:hotpotqa,0.5,0.01,53.33,53.33,53.33
llama31_8b_instruct,longbench:hotpotqa,0.5,1.0,58.23,59.16,59.14
llama31_8b_instruct,longbench:hotpotqa,0.6,1.0,57.51,58.33,59.25
llama31_8b_instruct,longbench:hotpotqa,0.7,1.0,57.97,58.87,59.04
llama31_8b_instruct,longbench:lcc,0.3,1.0,53.04,52.46,53.87
llama31_8b_instruct,longbench:lcc,0.4,1.0,52.92,52.44,53.04
llama31_8b_instruct,longbench:lcc,0.5,0.01,38.4,34.4,32.0
llama31_8b_instruct,longbench:lcc,0.5,1.0,52.02,50.81,53.09
llama31_8b_instruct,longbench:lcc,0.6,1.0,51.22,51.18,53.28
llama31_8b_instruct,longbench:lcc,0.7,1.0,51.08,50.83,53.32
llama31_8b_instruct,longbench:multi_news,0.3,1.0,26.29,26.31,26.35
llama31_8b_instruct,longbench:multi_news,0.4,1.0,26.08,26.53,26.12
llama31_8b_instruct,longbench:multi_news,0.5,0.01,18.69,18.08,19.37
llama31_8b_instruct,longbench:multi_news,0.5,1.0,25.55,25.64,25.66
llama31_8b_instruct,longbench:multi_news,0.6,1.0,24.73,24.52,24.64
llama31_8b_instruct,longbench:multi_news,0.7,1.0,24.35,23.46,23.87
llama31_8b_instruct,longbench:multifieldqa_en,0.3,1.0,56.2,55.65,55.48
llama31_8b_instruct,longbench:multifieldqa_en,0.4,1.0,55.86,55.72,54.83
llama31_8b_instruct,longbench:multifieldqa_en,0.5,0.01,23.76,23.56,24.16
llama31_8b_instruct,longbench:multifieldqa_en,0.5,1.0,54.59,54.68,55.49
llama31_8b_instruct,longbench:multifieldqa_en,0.6,1.0,51.83,54.96,55.14
llama31_8b_instruct,longbench:multifieldqa_en,0.7,1.0,50.43,55.66,55.84
llama31_8b_instruct,longbench:musique,0.3,1.0,32.69,33.93,32.39
llama31_8b_instruct,longbench:musique,0.4,1.0,31.67,32.77,33.31
llama31_8b_instruct,longbench:musique,0.5,0.01,50.0,50.0,50.0
llama31_8b_instruct,longbench:musique,0.5,1.0,31.3,32.38,32.84
llama31_8b_instruct,longbench:musique,0.6,1.0,31.56,32.87,32.94
llama31_8b_instruct,longbench:musique,0.7,1.0,31.01,32.39,32.56
llama31_8b_instruct,longbench:narrativeqa,0.3,1.0,30.07,30.76,30.69
llama31_8b_instruct,longbench:narrativeqa,0.4,1.0,29.58,30.61,30.21
llama31_8b_instruct,longbench:narrativeqa,0.5,0.01,11.11,11.11,11.11
llama31_8b_instruct,longbench:narrativeqa,0.5,1.0,29.38,30.44,30.79
llama31_8b_instruct,longbench:narrativeqa,0.6,1.0,27.38,30.2,30.6
llama31_8b_instruct,longbench:narrativeqa,0.7,1.0,26.99,29.63,30.03
llama31_8b_instruct,longbench:passage_count,0.3,1.0,11.05,11.15,11.2
llama31_8b_instruct,longbench:passage_count,0.4,1.0,11.13,12.55,10.65
llama31_8b_instruct,longbench:passage_count,0.5,0.01,0.0,0.0,0.0
llama31_8b_instruct,longbench:passage_count,0.5,1.0,11.05,10.55,11.65
llama31_8b_instruct,longbench:passage_count,0.6,1.0,7.5,12.05,11.7
llama31_8b_instruct,longbench:passage_count,0.7,1.0,6.54,12.55,11.63
llama31_8b_instruct,longbench:passage_retrieval_en,0.3,1.0,100.0,100.0,100.0
llama31_8b_instruct,longbench:passage_retrieval_en,0.4,1.0,100.0,100.0,100.0
llama31_8b_instruct,longbench:passage_retrieval_en,0.5,0.01,100.0,100.0,100.0
llama31_8b_instruct,longbench:passage_retrieval_en,0.5,1.0,100.0,100.0,100.0
llama31_8b_instruct,longbench:passage_retrieval_en,0.6,1.0,99.5,100.0,100.0
llama31_8b_instruct,longbench:passage_retrieval_en,0.7,1.0,99.5,99.5,100.0
llama31_8b_instruct,longbench:qasper,0.3,1.0,48.09,46.83,46.77
llama31_8b_instruct,longbench:qasper,0.4,1.0,47.87,48.08,47.11
llama31_8b_instruct,longbench:qasper,0.5,0.01,78.57,88.71,74.14
llama31_8b_instruct,longbench:qasper,0.5,1.0,47.34,47.46,46.22
llama31_8b_instruct,longbench:qasper,0.6,1.0,47.97,47.08,45.46
llama31_8b_instruct,longbench:qasper,0.7,1.0,46.53,46.35,46.04
