method,token_length,needle_depth,accuracy,samples,rouge_l_f1
block_wise,256,0,0.0,3,0.17058404083112502
block_wise,256,10,0.0,3,0.11081401774757134
block_wise,256,20,0.0,3,0.11415152292185894
block_wise,256,30,0.0,3,0.13028543308830484
block_wise,256,40,0.0,3,0.2430273703168865
block_wise,256,50,0.0,3,0.15141801165451163
block_wise,256,60,0.0,3,0.17472588555657012
block_wise,256,70,0.0,3,0.6249999952546296
block_wise,256,80,0.0,3,0.72153536030448
block_wise,256,90,1.0,3,0.7096774147762748
block_wise,256,100,0.0,3,0.26086956294896035
block_wise,512,0,0.6666666666666666,3,0.5564516082304795
block_wise,512,10,0.0,3,0.5527544304263223
block_wise,512,20,0.0,3,0.1628288874275249
block_wise,512,30,0.0,3,0.24310457035389602
block_wise,512,40,0.0,3,0.1730307490658963
block_wise,512,50,0.0,3,0.2062091454712042
block_wise,512,60,0.0,3,0.16144790767838998
block_wise,512,70,0.0,3,0.23366012588908128
block_wise,512,80,0.0,3,0.15151514667738683
block_wise,512,90,0.0,3,0.7499999953125
block_wise,512,100,0.0,3,0.26086956294896035
block_wise,768,0,0.6666666666666666,3,0.5819618123220424
block_wise,768,10,0.0,3,0.3697342955403942
block_wise,768,20,0.0,3,0.5555555508101852
block_wise,768,30,0.0,3,0.223385749063537
block_wise,768,40,0.0,3,0.4421341021826348
block_wise,768,50,0.0,3,0.16922558432660637
block_wise,768,60,0.0,3,0.2419330030061965
block_wise,768,70,0.0,3,0.535081469618751
block_wise,768,80,0.0,3,0.14626902906773906
block_wise,768,90,0.0,3,0.6566193805589186
block_wise,768,100,0.0,3,0.3072463742326403
block_wise,1024,0,0.6666666666666666,3,0.4731604422591684
block_wise,1024,10,0.0,3,0.2596371833673663
block_wise,1024,20,0.0,3,0.15790849195376153
block_wise,1024,30,0.0,3,0.14901960301878212
block_wise,1024,40,0.0,3,0.18779778098140673
block_wise,1024,50,0.0,3,0.12052640728379758
block_wise,1024,60,0.0,3,0.3617391255581601
block_wise,1024,70,0.0,3,0.1472875768898438
block_wise,1024,80,0.0,3,0.36444443957798356
block_wise,1024,90,0.0,3,0.4133986887328993
