method,context_length,needle_depth,compression_ratio,accuracy,samples,rouge_l_f1
block_wise,4096,0,0.5,1.0,1,0.7096774147762748
block_wise,4096,10,0.5,1.0,1,0.7096774147762748
block_wise,4096,20,0.5,0.0,1,0.7499999953125
block_wise,4096,30,0.5,1.0,1,0.7096774147762748
block_wise,4096,40,0.5,0.0,1,0.7499999953125
block_wise,4096,50,0.5,0.0,1,0.5714285673469389
block_wise,4096,60,0.5,0.0,1,0.7499999953125
block_wise,4096,70,0.5,1.0,1,0.7096774147762748
block_wise,4096,80,0.5,1.0,1,0.7096774147762748
block_wise,4096,90,0.5,1.0,1,0.7096774147762748
block_wise,4096,100,0.5,1.0,1,0.7096774147762748
block_wise,8192,0,0.5,0.0,1,0.7499999953125
block_wise,8192,10,0.5,0.0,1,0.6341463364663892
block_wise,8192,20,0.5,0.0,1,0.6206896508917956
block_wise,8192,30,0.5,0.0,1,0.6206896508917956
block_wise,8192,40,0.5,0.0,1,0.7499999953125
block_wise,8192,50,0.5,1.0,1,0.7096774147762748
block_wise,8192,60,0.5,1.0,1,0.7096774147762748
block_wise,8192,70,0.5,1.0,1,0.7096774147762748
block_wise,8192,80,0.5,1.0,1,0.7096774147762748
block_wise,8192,90,0.5,1.0,1,0.7096774147762748
block_wise,8192,100,0.5,1.0,1,0.7096774147762748
block_wise,16384,0,0.5,0.0,1,0.7499999953125
block_wise,16384,10,0.5,0.0,1,0.6206896508917956
block_wise,16384,20,0.5,0.0,1,0.7499999953125
block_wise,16384,30,0.5,1.0,1,0.7096774147762748
block_wise,16384,40,0.5,1.0,1,0.7096774147762748
block_wise,16384,50,0.5,1.0,1,0.7096774147762748
block_wise,16384,60,0.5,1.0,1,0.7096774147762748
block_wise,16384,70,0.5,1.0,1,0.7096774147762748
block_wise,16384,80,0.5,1.0,1,0.7096774147762748
block_wise,16384,90,0.5,0.0,1,0.7499999953125
block_wise,16384,100,0.5,1.0,1,0.7096774147762748
chunkkv,4096,0,0.5,1.0,1,0.7096774147762748
chunkkv,4096,10,0.5,1.0,1,0.7096774147762748
chunkkv,4096,20,0.5,1.0,1,0.7096774147762748
chunkkv,4096,30,0.5,1.0,1,0.7096774147762748
chunkkv,4096,40,0.5,1.0,1,0.7096774147762748
chunkkv,4096,50,0.5,1.0,1,0.7096774147762748
chunkkv,4096,60,0.5,1.0,1,0.7096774147762748
chunkkv,4096,70,0.5,1.0,1,0.7096774147762748
chunkkv,4096,80,0.5,1.0,1,0.7096774147762748
chunkkv,4096,90,0.5,1.0,1,0.7096774147762748
chunkkv,4096,100,0.5,1.0,1,0.7096774147762748
chunkkv,8192,0,0.5,1.0,1,0.7096774147762748
chunkkv,8192,10,0.5,1.0,1,0.7096774147762748
chunkkv,8192,20,0.5,1.0,1,0.7096774147762748
chunkkv,8192,30,0.5,1.0,1,0.7096774147762748
chunkkv,8192,40,0.5,1.0,1,0.7096774147762748
chunkkv,8192,50,0.5,1.0,1,0.7096774147762748
chunkkv,8192,60,0.5,1.0,1,0.7096774147762748
chunkkv,8192,70,0.5,1.0,1,0.7096774147762748
chunkkv,8192,80,0.5,1.0,1,0.7096774147762748
chunkkv,8192,90,0.5,1.0,1,0.7096774147762748
chunkkv,8192,100,0.5,1.0,1,0.7096774147762748
chunkkv,16384,0,0.5,1.0,1,0.7096774147762748
chunkkv,16384,10,0.5,1.0,1,0.7096774147762748
chunkkv,16384,20,0.5,1.0,1,0.7096774147762748
chunkkv,16384,30,0.5,1.0,1,0.7096774147762748
chunkkv,16384,40,0.5,1.0,1,0.7096774147762748
chunkkv,16384,50,0.5,1.0,1,0.7096774147762748
chunkkv,16384,60,0.5,1.0,1,0.7096774147762748
chunkkv,16384,70,0.5,1.0,1,0.7096774147762748
chunkkv,16384,80,0.5,1.0,1,0.7096774147762748
chunkkv,16384,90,0.5,0.0,1,0.7499999953125
chunkkv,16384,100,0.5,1.0,1,0.7096774147762748
chunkkv,32768,0,0.5,1.0,1,0.7096774147762748
chunkkv,32768,10,0.5,1.0,1,0.7096774147762748
chunkkv,32768,20,0.5,1.0,1,0.7096774147762748
chunkkv,32768,30,0.5,1.0,1,0.7096774147762748
chunkkv,32768,40,0.5,1.0,1,0.7096774147762748
chunkkv,32768,50,0.5,1.0,1,0.7096774147762748
chunkkv,32768,60,0.5,1.0,1,0.7096774147762748
chunkkv,32768,70,0.5,1.0,1,0.7096774147762748
chunkkv,32768,80,0.5,1.0,1,0.7096774147762748
chunkkv,32768,90,0.5,1.0,1,0.7096774147762748
chunkkv,32768,100,0.5,1.0,1,0.7096774147762748
snapkv,4096,0,0.5,1.0,1,0.7096774147762748
snapkv,4096,10,0.5,1.0,1,0.7096774147762748
snapkv,4096,20,0.5,1.0,1,0.7096774147762748
snapkv,4096,30,0.5,1.0,1,0.7096774147762748
snapkv,4096,40,0.5,1.0,1,0.7096774147762748
snapkv,4096,50,0.5,1.0,1,0.7096774147762748
snapkv,4096,60,0.5,1.0,1,0.7096774147762748
snapkv,4096,70,0.5,1.0,1,0.7096774147762748
snapkv,4096,80,0.5,1.0,1,0.7096774147762748
snapkv,4096,90,0.5,1.0,1,0.7096774147762748
snapkv,4096,100,0.5,1.0,1,0.7096774147762748
snapkv,8192,0,0.5,1.0,1,0.7096774147762748
snapkv,8192,10,0.5,1.0,1,0.7096774147762748
snapkv,8192,20,0.5,1.0,1,0.7096774147762748
snapkv,8192,30,0.5,1.0,1,0.7096774147762748
snapkv,8192,40,0.5,1.0,1,0.7096774147762748
snapkv,8192,50,0.5,1.0,1,0.7096774147762748
snapkv,8192,60,0.5,1.0,1,0.7096774147762748
snapkv,8192,70,0.5,1.0,1,0.7096774147762748
snapkv,8192,80,0.5,1.0,1,0.7096774147762748
snapkv,8192,90,0.5,1.0,1,0.7096774147762748
snapkv,8192,100,0.5,1.0,1,0.7096774147762748
snapkv,16384,0,0.5,1.0,1,0.7096774147762748
snapkv,16384,10,0.5,1.0,1,0.7096774147762748
snapkv,16384,20,0.5,1.0,1,0.7096774147762748
snapkv,16384,30,0.5,1.0,1,0.7096774147762748
snapkv,16384,40,0.5,1.0,1,0.7096774147762748
snapkv,16384,50,0.5,1.0,1,0.7096774147762748
snapkv,16384,60,0.5,1.0,1,0.7096774147762748
snapkv,16384,70,0.5,1.0,1,0.7096774147762748
snapkv,16384,80,0.5,1.0,1,0.7096774147762748
snapkv,16384,90,0.5,0.0,1,0.7499999953125
snapkv,16384,100,0.5,1.0,1,0.7096774147762748
snapkv,32768,0,0.5,1.0,1,0.7096774147762748
snapkv,32768,10,0.5,1.0,1,0.7096774147762748
snapkv,32768,20,0.5,1.0,1,0.7096774147762748
snapkv,32768,30,0.5,1.0,1,0.7096774147762748
snapkv,32768,40,0.5,1.0,1,0.7096774147762748
snapkv,32768,50,0.5,1.0,1,0.7096774147762748
snapkv,32768,60,0.5,1.0,1,0.7096774147762748
snapkv,32768,70,0.5,1.0,1,0.7096774147762748
snapkv,32768,80,0.5,1.0,1,0.7096774147762748
snapkv,32768,90,0.5,1.0,1,0.7096774147762748
snapkv,32768,100,0.5,1.0,1,0.7096774147762748
