model,dataset_key,method,r0.3,r0.4,r0.5,r0.6,r0.7,r0.8
llama31_8b_instruct,longbench:2wikimqa,blockwise,50.04,49.05,49.52,50.17,47.9,46.17
llama31_8b_instruct,longbench:2wikimqa,chunkkv,50.1,51.54,49.93,48.7,46.8,46.94
llama31_8b_instruct,longbench:2wikimqa,snapkv,51.1,51.71,50.48,50.15,50.7,49.08
llama31_8b_instruct,longbench:hotpotqa,blockwise,58.82,58.96,58.0,57.39,58.58,58.84
llama31_8b_instruct,longbench:hotpotqa,chunkkv,58.31,59.16,59.24,58.56,59.01,58.49
llama31_8b_instruct,longbench:hotpotqa,snapkv,59.43,59.19,58.91,59.35,58.91,58.75
llama31_8b_instruct,longbench:multifieldqa_en,blockwise,56.2,55.86,54.36,51.9,50.63,47.6
llama31_8b_instruct,longbench:multifieldqa_en,chunkkv,55.65,55.72,54.68,54.96,56.03,54.96
llama31_8b_instruct,longbench:multifieldqa_en,snapkv,55.48,54.83,55.29,55.27,55.62,54.21
llama31_8b_instruct,longbench:musique,blockwise,32.69,31.67,31.33,31.4,30.91,27.11
llama31_8b_instruct,longbench:musique,chunkkv,33.93,32.77,32.38,32.82,32.75,32.36
llama31_8b_instruct,longbench:musique,snapkv,32.39,32.71,32.6,32.94,32.63,31.21
llama31_8b_instruct,longbench:qasper,blockwise,48.09,47.87,47.32,47.17,46.05,43.86
llama31_8b_instruct,longbench:qasper,chunkkv,46.83,48.08,47.46,47.08,46.35,44.16
llama31_8b_instruct,longbench:qasper,snapkv,46.77,47.11,46.36,45.43,46.41,44.3
llama31_8b_instruct,longbench:triviaqa,blockwise,92.16,91.14,91.87,91.98,90.98,90.38
llama31_8b_instruct,longbench:triviaqa,chunkkv,91.41,91.58,91.58,91.98,91.63,90.53
llama31_8b_instruct,longbench:triviaqa,snapkv,91.41,91.88,91.88,91.39,92.08,92.08
mistral_7b_instruct_v03,longbench:2wikimqa,blockwise,39.46,39.62,36.35,36.01,34.74,34.97
mistral_7b_instruct_v03,longbench:2wikimqa,chunkkv,38.4,37.18,37.74,36.38,35.36,33.38
mistral_7b_instruct_v03,longbench:2wikimqa,snapkv,38.8,38.92,38.19,37.74,37.67,37.59
mistral_7b_instruct_v03,longbench:hotpotqa,blockwise,48.97,48.54,47.82,48.59,48.31,48.28
mistral_7b_instruct_v03,longbench:hotpotqa,chunkkv,48.67,48.9,48.63,48.67,47.26,46.98
mistral_7b_instruct_v03,longbench:hotpotqa,snapkv,49.17,48.71,48.01,48.58,47.69,47.98
mistral_7b_instruct_v03,longbench:multifieldqa_en,blockwise,51.33,51.67,50.51,50.45,49.62,47.31
mistral_7b_instruct_v03,longbench:multifieldqa_en,chunkkv,51.62,51.37,50.85,50.4,50.2,50.53
mistral_7b_instruct_v03,longbench:multifieldqa_en,snapkv,51.0,50.99,50.92,51.02,50.69,49.92
mistral_7b_instruct_v03,longbench:musique,blockwise,27.84,27.62,27.14,25.41,25.22,26.21
mistral_7b_instruct_v03,longbench:musique,chunkkv,28.93,28.34,27.95,27.83,28.0,27.75
mistral_7b_instruct_v03,longbench:musique,snapkv,28.11,28.34,27.99,27.18,27.63,26.32
mistral_7b_instruct_v03,longbench:qasper,blockwise,38.65,38.6,37.96,37.43,35.94,34.42
mistral_7b_instruct_v03,longbench:qasper,chunkkv,39.41,39.61,39.87,37.68,36.39,34.32
mistral_7b_instruct_v03,longbench:qasper,snapkv,38.44,38.28,38.27,37.06,36.19,34.53
mistral_7b_instruct_v03,longbench:triviaqa,blockwise,86.02,86.52,86.92,87.66,87.85,88.12
mistral_7b_instruct_v03,longbench:triviaqa,chunkkv,85.42,85.46,86.23,86.26,86.76,86.96
mistral_7b_instruct_v03,longbench:triviaqa,snapkv,86.49,85.86,86.56,86.84,86.94,86.9
qwen3_8b,longbench:2wikimqa,blockwise,48.04,49.83,49.26,47.76,46.94,43.96
qwen3_8b,longbench:2wikimqa,chunkkv,47.98,48.48,49.08,48.88,48.12,45.62
qwen3_8b,longbench:2wikimqa,snapkv,49.23,49.01,49.11,49.12,48.37,47.08
qwen3_8b,longbench:hotpotqa,blockwise,62.65,62.35,62.16,62.42,61.6,59.82
qwen3_8b,longbench:hotpotqa,chunkkv,62.3,62.46,62.17,62.17,61.94,61.52
qwen3_8b,longbench:hotpotqa,snapkv,62.05,62.03,61.77,61.64,62.27,61.71
qwen3_8b,longbench:multifieldqa_en,blockwise,53.42,52.39,52.58,53.25,53.44,50.7
qwen3_8b,longbench:multifieldqa_en,chunkkv,55.54,54.93,54.7,54.54,54.87,53.59
qwen3_8b,longbench:multifieldqa_en,snapkv,55.47,55.31,55.21,54.29,52.63,52.66
qwen3_8b,longbench:musique,blockwise,33.73,34.78,34.18,32.51,32.38,30.83
qwen3_8b,longbench:musique,chunkkv,34.46,35.27,33.78,35.16,35.16,34.75
qwen3_8b,longbench:musique,snapkv,35.85,36.04,36.29,36.02,35.57,35.69
qwen3_8b,longbench:qasper,blockwise,44.19,44.4,43.76,42.42,42.06,38.07
qwen3_8b,longbench:qasper,chunkkv,43.96,44.15,43.35,43.65,41.99,39.38
qwen3_8b,longbench:qasper,snapkv,44.0,43.15,43.53,43.09,42.21,40.63
qwen3_8b,longbench:triviaqa,blockwise,89.84,89.74,90.49,90.24,89.74,88.21
qwen3_8b,longbench:triviaqa,chunkkv,89.56,89.46,89.96,89.93,89.93,90.05
qwen3_8b,longbench:triviaqa,snapkv,90.56,89.56,89.96,90.21,90.21,90.21
