model,dataset_key,compression_ratio,fraction,blockwise,chunkkv,snapkv
llama31_8b_instruct,longbench:2wikimqa,0.3,1.0,50.04,50.1,51.1
llama31_8b_instruct,longbench:2wikimqa,0.4,1.0,49.05,51.54,51.71
llama31_8b_instruct,longbench:2wikimqa,0.5,0.01,0.0,0.0,0.0
llama31_8b_instruct,longbench:2wikimqa,0.5,1.0,49.52,49.93,50.48
llama31_8b_instruct,longbench:2wikimqa,0.6,1.0,50.17,48.7,50.15
llama31_8b_instruct,longbench:2wikimqa,0.7,1.0,47.9,46.8,50.7
llama31_8b_instruct,longbench:2wikimqa,0.8,1.0,46.17,46.94,49.08
llama31_8b_instruct,longbench:hotpotqa,0.3,1.0,58.82,58.31,59.43
llama31_8b_instruct,longbench:hotpotqa,0.4,1.0,58.96,59.16,59.19
llama31_8b_instruct,longbench:hotpotqa,0.5,0.01,53.33,53.33,53.33
llama31_8b_instruct,longbench:hotpotqa,0.5,1.0,58.0,59.24,58.91
llama31_8b_instruct,longbench:hotpotqa,0.6,1.0,57.39,58.56,59.35
llama31_8b_instruct,longbench:hotpotqa,0.7,1.0,58.58,59.01,58.91
llama31_8b_instruct,longbench:hotpotqa,0.8,1.0,58.84,58.49,58.75
llama31_8b_instruct,longbench:multifieldqa_en,0.3,1.0,56.2,55.65,55.48
llama31_8b_instruct,longbench:multifieldqa_en,0.4,1.0,55.86,55.72,54.83
llama31_8b_instruct,longbench:multifieldqa_en,0.5,0.01,23.76,23.56,24.16
llama31_8b_instruct,longbench:multifieldqa_en,0.5,1.0,54.36,54.68,55.29
llama31_8b_instruct,longbench:multifieldqa_en,0.6,1.0,51.9,54.96,55.27
llama31_8b_instruct,longbench:multifieldqa_en,0.7,1.0,50.63,56.03,55.62
llama31_8b_instruct,longbench:multifieldqa_en,0.8,1.0,47.6,54.96,54.21
llama31_8b_instruct,longbench:musique,0.3,1.0,32.69,33.93,32.39
llama31_8b_instruct,longbench:musique,0.4,1.0,31.67,32.77,32.71
llama31_8b_instruct,longbench:musique,0.5,0.01,50.0,50.0,50.0
llama31_8b_instruct,longbench:musique,0.5,1.0,31.33,32.38,32.6
llama31_8b_instruct,longbench:musique,0.6,1.0,31.4,32.82,32.94
llama31_8b_instruct,longbench:musique,0.7,1.0,30.91,32.75,32.63
llama31_8b_instruct,longbench:musique,0.8,1.0,27.11,32.36,31.21
llama31_8b_instruct,longbench:qasper,0.3,1.0,48.09,46.83,46.77
llama31_8b_instruct,longbench:qasper,0.4,1.0,47.87,48.08,47.11
llama31_8b_instruct,longbench:qasper,0.5,0.01,78.57,88.71,74.14
llama31_8b_instruct,longbench:qasper,0.5,1.0,47.32,47.46,46.36
llama31_8b_instruct,longbench:qasper,0.6,1.0,47.17,47.08,45.43
llama31_8b_instruct,longbench:qasper,0.7,1.0,46.05,46.35,46.41
llama31_8b_instruct,longbench:qasper,0.8,1.0,43.86,44.16,44.3
llama31_8b_instruct,longbench:triviaqa,0.3,1.0,92.16,91.41,91.41
llama31_8b_instruct,longbench:triviaqa,0.4,1.0,91.14,91.58,91.88
llama31_8b_instruct,longbench:triviaqa,0.5,0.01,100.0,90.0,90.0
llama31_8b_instruct,longbench:triviaqa,0.5,1.0,91.87,91.58,91.88
llama31_8b_instruct,longbench:triviaqa,0.6,1.0,91.98,91.98,91.39
llama31_8b_instruct,longbench:triviaqa,0.7,1.0,90.98,91.63,92.08
llama31_8b_instruct,longbench:triviaqa,0.8,1.0,90.38,90.53,92.08
llama31_8b_instruct,needle_in_haystack:16384,0.3,1.0,71.77419308835198,70.96774147762747,70.96774147762747
llama31_8b_instruct,needle_in_haystack:16384,0.4,1.0,72.58064469907649,70.96774147762747,70.96774147762747
llama31_8b_instruct,needle_in_haystack:16384,0.5,0.01,73.38709630980098,70.96774147762747,70.96774147762747
llama31_8b_instruct,needle_in_haystack:16384,0.5,1.0,73.38709630980098,70.96774147762747,70.96774147762747
llama31_8b_instruct,needle_in_haystack:16384,0.6,1.0,72.14385848710037,70.96774147762747,70.96774147762747
llama31_8b_instruct,needle_in_haystack:16384,0.7,1.0,68.21468253297282,70.96774147762747,70.96774147762747
llama31_8b_instruct,needle_in_haystack:16384,0.8,1.0,67.67967072287266,70.96774147762747,70.96774147762747
llama31_8b_instruct,pg19:test,0.3,1.0,10.2954,10.2775,10.2622
llama31_8b_instruct,pg19:test,0.4,1.0,10.3476,10.3239,10.2767
llama31_8b_instruct,pg19:test,0.5,1.0,10.4098,10.3819,10.3092
llama31_8b_instruct,pg19:test,0.6,1.0,10.5046,10.4691,10.3451
llama31_8b_instruct,pg19:test,0.7,1.0,10.634,10.5879,10.446
llama31_8b_instruct,pg19:test,0.8,1.0,10.8655,10.7835,10.6097
mistral_7b_instruct_v03,longbench:2wikimqa,0.3,1.0,39.46,38.4,38.8
mistral_7b_instruct_v03,longbench:2wikimqa,0.4,1.0,39.62,37.18,38.92
mistral_7b_instruct_v03,longbench:2wikimqa,0.5,1.0,36.35,37.74,38.19
mistral_7b_instruct_v03,longbench:2wikimqa,0.6,1.0,36.01,36.38,37.74
mistral_7b_instruct_v03,longbench:2wikimqa,0.7,1.0,34.74,35.36,37.67
mistral_7b_instruct_v03,longbench:2wikimqa,0.8,1.0,34.97,33.38,37.59
mistral_7b_instruct_v03,longbench:hotpotqa,0.3,1.0,48.97,48.67,49.17
mistral_7b_instruct_v03,longbench:hotpotqa,0.4,1.0,48.54,48.9,48.71
