model,needle_depth,method,r0.3,r0.4,r0.5,r0.6,r0.7,r0.8
llama31_8b_instruct,0,blockwise,74.99999953125,74.99999953125,74.99999953125,82.60869516068054,74.99999953125,62.068965089179564
llama31_8b_instruct,0,chunkkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,0,snapkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,25,blockwise,70.96774147762747,74.99999953125,74.99999953125,74.99999953125,62.068965089179564,62.068965089179564
llama31_8b_instruct,25,chunkkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,25,snapkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,50,blockwise,70.96774147762747,70.96774147762747,70.96774147762747,57.14285673469389,62.068965089179564,68.2926824271267
llama31_8b_instruct,50,chunkkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,50,snapkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,75,blockwise,70.96774147762747,70.96774147762747,74.99999953125,74.99999953125,70.96774147762747,74.99999953125
llama31_8b_instruct,75,chunkkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,75,snapkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,100,blockwise,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,100,chunkkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
llama31_8b_instruct,100,snapkv,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747,70.96774147762747
mistral_7b_instruct_v03,0,blockwise,74.99999953125,55.3191484472612,74.99999953125,74.99999953125,74.99999953125,74.99999953125
mistral_7b_instruct_v03,0,chunkkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
mistral_7b_instruct_v03,0,snapkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
mistral_7b_instruct_v03,25,blockwise,15.094339152723405,35.29411717031911,15.38461491124262,42.55319100045269,38.46153798816568,18.86792405838378
mistral_7b_instruct_v03,25,chunkkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
mistral_7b_instruct_v03,25,snapkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
mistral_7b_instruct_v03,50,blockwise,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,44.44444397805213
mistral_7b_instruct_v03,50,chunkkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
mistral_7b_instruct_v03,50,snapkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
mistral_7b_instruct_v03,75,blockwise,47.27272680991737,47.27272680991737,60.37735802064793,70.37036990397806,70.58823481737794,66.66666620027436
mistral_7b_instruct_v03,75,chunkkv,47.27272680991737,53.0612240066639,47.27272680991737,49.05660330366679,50.98039168012304,48.148147681755844
mistral_7b_instruct_v03,75,snapkv,53.0612240066639,47.27272680991737,47.27272680991737,74.99999953125,74.99999953125,74.99999953125
mistral_7b_instruct_v03,100,blockwise,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,70.96774147762747
mistral_7b_instruct_v03,100,chunkkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,70.96774147762747
mistral_7b_instruct_v03,100,snapkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,70.96774147762747
qwen3_8b,0,blockwise,58.06451567117586,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
qwen3_8b,0,chunkkv,74.99999953125,58.06451567117586,58.06451567117586,58.06451567117586,58.06451567117586,58.06451567117586
qwen3_8b,0,snapkv,74.99999953125,74.99999953125,74.99999953125,58.06451567117586,58.06451567117586,58.06451567117586
qwen3_8b,25,blockwise,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,37.20930182801514
qwen3_8b,25,chunkkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,58.06451567117586
qwen3_8b,25,snapkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
qwen3_8b,50,blockwise,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
qwen3_8b,50,chunkkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,58.06451567117586,58.06451567117586
qwen3_8b,50,snapkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
qwen3_8b,75,blockwise,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,62.068965089179564
qwen3_8b,75,chunkkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
qwen3_8b,75,snapkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
qwen3_8b,100,blockwise,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
qwen3_8b,100,chunkkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,58.06451567117586,58.06451567117586
qwen3_8b,100,snapkv,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125,74.99999953125
