method,token_length,subword_ppl,avg_nll,subword_ppl_all_targets,avg_nll_all_targets,target_tokens_scored,target_tokens_scored_all,num_books,target_tokens,include_first_target,compression_ratio,stride,model,pg19_source_dataset,physical_device
snapkv,1024,10.26787,2.32901961,10.320363,2.33411895,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,1536,11.228233,2.41843137,11.220978,2.41778503,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,2048,10.532964,2.3545098,10.526549,2.35390058,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,2560,10.590951,2.36,10.641211,2.36473429,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,3072,10.171685,2.31960784,10.146834,2.31716174,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,3584,9.939042,2.29647059,9.918074,2.29435878,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,4096,9.993759,2.30196078,9.957786,2.29835477,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,4608,9.415459,2.24235294,9.396974,2.24038772,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,5120,9.360237,2.23647059,9.343136,2.23464192,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,5632,9.035637,2.20117647,9.068112,2.20476407,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,6144,10.872911,2.38627451,10.830561,2.3823719,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,6656,10.29737,2.33188854,10.306211,2.33274674,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,7168,9.59952,2.26171311,9.602691,2.26204335,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,7680,9.727166,2.2749226,9.730546,2.27526999,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,8192,9.318407,2.23199174,9.335128,2.23378451,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,8704,9.743241,2.27657379,9.756952,2.2779801,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,9216,9.64719,2.26666667,9.673883,2.26942977,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,9728,9.96698,2.29927761,9.944173,2.29698671,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,10240,9.77547,2.27987616,9.775028,2.27983099,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,10752,10.525141,2.35376677,10.529366,2.3541681,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,11264,9.905455,2.29308566,9.917515,2.29430239,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,11776,9.129933,2.21155831,9.159047,2.21474213,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,12288,10.053756,2.30794634,10.049559,2.30752871,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,12800,9.659144,2.26790506,9.628759,2.26475433,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,13312,9.253244,2.2249742,9.260072,2.22571179,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,13824,9.475505,2.24871001,9.453828,2.24641978,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,14336,9.019427,2.1993808,9.040156,2.20167644,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,14848,9.162024,2.21506708,9.193254,2.21846997,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,15360,8.744466,2.16842105,8.728376,2.16657933,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,15872,9.372416,2.2377709,9.366797,2.23717125,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,16384,9.287685,2.22868937,9.289254,2.22885819,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
