model_key,context_length,compression_ratio,layer,lag,overlap_mean,overlap_std,jaccard_mean,sample_count
mistral_7b_instruct_v03,8192,0.3,0,1,0.9391740560531616,,0.8862448930740356,1
mistral_7b_instruct_v03,8192,0.3,0,2,0.9198489785194396,,0.8523848652839661,1
mistral_7b_instruct_v03,8192,0.3,0,4,0.9066232442855836,,0.8299849629402161,1
mistral_7b_instruct_v03,8192,0.3,0,8,0.9088101387023926,,0.8339754343032837,1
mistral_7b_instruct_v03,8192,0.3,0,16,0.8945227861404419,,0.810809314250946,1
mistral_7b_instruct_v03,8192,0.3,0,32,0.8961398005485535,,0.8146933913230896,1
mistral_7b_instruct_v03,8192,0.3,0,64,0.8780679106712341,,0.7877624034881592,1
mistral_7b_instruct_v03,8192,0.3,0,128,0.8588711619377136,,0.7620933055877686,1
mistral_7b_instruct_v03,8192,0.3,0,256,0.8461208939552307,,0.7513650059700012,1
mistral_7b_instruct_v03,8192,0.3,0,512,0.8032992482185364,,0.7032436728477478,1
mistral_7b_instruct_v03,8192,0.3,0,1024,0.7586169242858887,,0.6679310202598572,1
mistral_7b_instruct_v03,8192,0.3,1,1,0.9308958053588868,,0.8711512088775635,1
mistral_7b_instruct_v03,8192,0.3,1,2,0.8946295976638794,,0.8098465800285339,1
mistral_7b_instruct_v03,8192,0.3,1,4,0.8664402961730957,,0.7648783922195435,1
mistral_7b_instruct_v03,8192,0.3,1,8,0.8645496964454651,,0.7621373534202576,1
mistral_7b_instruct_v03,8192,0.3,1,16,0.8409495949745178,,0.7267618775367737,1
mistral_7b_instruct_v03,8192,0.3,1,32,0.8442466259002686,,0.7328162789344788,1
mistral_7b_instruct_v03,8192,0.3,1,64,0.8254791498184204,,0.707134485244751,1
mistral_7b_instruct_v03,8192,0.3,1,128,0.789286732673645,,0.6595595479011536,1
mistral_7b_instruct_v03,8192,0.3,1,256,0.7953935265541077,,0.6757842302322388,1
mistral_7b_instruct_v03,8192,0.3,1,512,0.7433076500892639,,0.6181976199150085,1
