model_key,compression_ratio,lag,overlap_mean,overlap_std,layer_sample_count
llama31_8b_instruct,0.3,1,0.9158299285918474,0.013447795315810746,32
llama31_8b_instruct,0.3,2,0.8966966420412064,0.016725818964773258,32
llama31_8b_instruct,0.3,4,0.8836085572838783,0.018145951625724,32
llama31_8b_instruct,0.3,8,0.8735422994941473,0.019264152096957938,32
llama31_8b_instruct,0.3,16,0.8624999895691872,0.019114909071831273,32
llama31_8b_instruct,0.3,32,0.8497132509946823,0.019471228019901057,32
llama31_8b_instruct,0.3,64,0.8342047613114119,0.019473091084827317,32
llama31_8b_instruct,0.3,128,0.816332895308733,0.01975819196252257,32
llama31_8b_instruct,0.3,256,0.7905879653990269,0.019836247373984,32
llama31_8b_instruct,0.3,512,0.7566554881632328,0.018181003051703976,32
llama31_8b_instruct,0.3,1024,0.7066945750266314,0.01686633405703398,32
llama31_8b_instruct,0.5,1,0.8642367664724588,0.022373342790219207,32
llama31_8b_instruct,0.5,2,0.8334156479686499,0.028006610153179637,32
llama31_8b_instruct,0.5,4,0.812864301726222,0.03034146909392813,32
llama31_8b_instruct,0.5,8,0.7969444245100021,0.0320794253190654,32
llama31_8b_instruct,0.5,16,0.7800066396594048,0.03188661034344013,32
llama31_8b_instruct,0.5,32,0.7610525153577328,0.03231918121435046,32
llama31_8b_instruct,0.5,64,0.7389418724924326,0.03234920237278119,32
llama31_8b_instruct,0.5,128,0.7146973703056574,0.03289507046817736,32
llama31_8b_instruct,0.5,256,0.6805346328765154,0.03377363891449764,32
llama31_8b_instruct,0.5,512,0.6417542863637209,0.031058943605221875,32
llama31_8b_instruct,0.5,1024,0.5879075285047293,0.027175718948858788,32
llama31_8b_instruct,0.7,1,0.8038179986178875,0.03248622426356759,32
llama31_8b_instruct,0.7,2,0.7602288406342268,0.04045717074400076,32
llama31_8b_instruct,0.7,4,0.7318769823759794,0.043346615066538176,32
llama31_8b_instruct,0.7,8,0.7099326904863119,0.04529340056057227,32
llama31_8b_instruct,0.7,16,0.6866512726992369,0.04462206076377714,32
llama31_8b_instruct,0.7,32,0.6617133654654026,0.04452517602635976,32
llama31_8b_instruct,0.7,64,0.6331906691193581,0.043883655779248555,32
llama31_8b_instruct,0.7,128,0.600890314206481,0.04484701725546654,32
llama31_8b_instruct,0.7,256,0.5551952198147774,0.044594186659634584,32
llama31_8b_instruct,0.7,512,0.508606149815023,0.03967721075499629,32
llama31_8b_instruct,0.7,1024,0.44988785684108734,0.03372567855483959,32
mistral_7b_instruct_v03,0.3,1,0.9108439814299345,0.013605389967660083,32
mistral_7b_instruct_v03,0.3,2,0.888029433786869,0.015283508163545149,32
mistral_7b_instruct_v03,0.3,4,0.8705746829509735,0.016144891001682253,32
mistral_7b_instruct_v03,0.3,8,0.8600242361426353,0.01722488455095358,32
mistral_7b_instruct_v03,0.3,16,0.8491327594965696,0.017958497870463476,32
mistral_7b_instruct_v03,0.3,32,0.8388637714087963,0.01842344682691976,32
mistral_7b_instruct_v03,0.3,64,0.8259258773177862,0.017406511191521007,32
mistral_7b_instruct_v03,0.3,128,0.8061677161604166,0.018225514969723702,32
mistral_7b_instruct_v03,0.3,256,0.7869195491075516,0.018939161960930897,32
mistral_7b_instruct_v03,0.3,512,0.7489385958760977,0.019038717585968173,32
mistral_7b_instruct_v03,0.3,1024,0.6934059169143438,0.022450430438773608,32
mistral_7b_instruct_v03,0.5,1,0.8556969445198774,0.023216798216164937,32
mistral_7b_instruct_v03,0.5,2,0.8187382109463215,0.026602922493597726,32
mistral_7b_instruct_v03,0.5,4,0.7906734831631184,0.02821073840170744,32
mistral_7b_instruct_v03,0.5,8,0.7735331263393164,0.030514732115486824,32
mistral_7b_instruct_v03,0.5,16,0.7576585151255131,0.03178146744637724,32
mistral_7b_instruct_v03,0.5,32,0.7423466257750988,0.03342008950643833,32
mistral_7b_instruct_v03,0.5,64,0.7246855236589909,0.03188157577890289,32
mistral_7b_instruct_v03,0.5,128,0.6978512927889824,0.03243819999348449,32
mistral_7b_instruct_v03,0.5,256,0.6734382268041372,0.034257733495676054,32
mistral_7b_instruct_v03,0.5,512,0.6249587535858154,0.03370447155730295,32
mistral_7b_instruct_v03,0.5,1024,0.5597827080637217,0.038498982972593854,32
mistral_7b_instruct_v03,0.7,1,0.7948878724128008,0.03417747012501911,32
mistral_7b_instruct_v03,0.7,2,0.7435970455408096,0.039617120708768355,32
mistral_7b_instruct_v03,0.7,4,0.705255338922143,0.042546188530248635,32
mistral_7b_instruct_v03,0.7,8,0.6818748470395803,0.046549650366739186,32
mistral_7b_instruct_v03,0.7,16,0.6625598464161158,0.04850723816351152,32
mistral_7b_instruct_v03,0.7,32,0.6425146870315075,0.05184783099410734,32
mistral_7b_instruct_v03,0.7,64,0.6204850096255541,0.04991568383282154,32
mistral_7b_instruct_v03,0.7,128,0.5871039796620607,0.04978733292018482,32
mistral_7b_instruct_v03,0.7,256,0.5523948660120368,0.05224784907443368,32
mistral_7b_instruct_v03,0.7,512,0.4871176742017269,0.049638307373196106,32
mistral_7b_instruct_v03,0.7,1024,0.40678183175623417,0.05294991354387247,32
qwen3_8b,0.3,1,0.8936852630641725,0.012415183974406675,36
qwen3_8b,0.3,2,0.8735672930876414,0.014642754859504394,36
qwen3_8b,0.3,4,0.861315507027838,0.016140007784975225,36
qwen3_8b,0.3,8,0.8518242223395242,0.01768643993801153,36
qwen3_8b,0.3,16,0.8420328249533972,0.018234689737374115,36
qwen3_8b,0.3,32,0.8305970877408981,0.019422124270157125,36
qwen3_8b,0.3,64,0.8179917534192404,0.020805947122993388,36
qwen3_8b,0.3,128,0.7996539870897929,0.022091324478245335,36
qwen3_8b,0.3,256,0.7778370694981681,0.024182392000076686,36
qwen3_8b,0.3,512,0.7416535533136792,0.023125653049406003,36
qwen3_8b,0.3,1024,0.6833890908294253,0.018407440998422606,36
qwen3_8b,0.5,1,0.8305980480379529,0.02039105876420618,36
qwen3_8b,0.5,2,0.797831556863255,0.02516323688443849,36
qwen3_8b,0.5,4,0.778023792637719,0.027722676292119337,36
qwen3_8b,0.5,8,0.7626065611839294,0.030322087439122646,36
qwen3_8b,0.5,16,0.7472621103127798,0.031225431861794783,36
qwen3_8b,0.5,32,0.7296728938817978,0.03295353779637972,36
qwen3_8b,0.5,64,0.7115673455927107,0.034747634508925436,36
qwen3_8b,0.5,128,0.6858017709520128,0.036599645978990035,36
qwen3_8b,0.5,256,0.6573850529061424,0.04051009387990723,36
qwen3_8b,0.5,512,0.6143379145198398,0.03822186556381264,36
qwen3_8b,0.5,1024,0.5489961612555716,0.027833036923786227,36
qwen3_8b,0.7,1,0.7624761197302077,0.03232103542935688,36
qwen3_8b,0.7,2,0.7166208144691255,0.04099249918863964,36
qwen3_8b,0.7,4,0.689084412323104,0.04488958956702321,36
qwen3_8b,0.7,8,0.6676324705282847,0.04843526346525741,36
qwen3_8b,0.7,16,0.6470911850531896,0.05050363218369337,36
qwen3_8b,0.7,32,0.6233176903592216,0.052598286401449555,36
qwen3_8b,0.7,64,0.5992901159657372,0.054433277868623176,36
qwen3_8b,0.7,128,0.5656298928790622,0.0571822546910463,36
qwen3_8b,0.7,256,0.5270543752445115,0.061212106926660424,36
qwen3_8b,0.7,512,0.47353192584382164,0.055876522130254944,36
qwen3_8b,0.7,1024,0.40068837172455257,0.03992121392122247,36
