system,source,model_key,batch_size,output_len_bucket,output_label,num_requests,num_completed,num_failed,median_ttft_s,median_e2e_s,p99_e2e_s,median_tpot_ms,gpu_peak_memory_gb,decode_throughput_tok_s
vLLM,measured,llama31_8b_instruct,1,1024,1k,32,32,0,1.7608698606491089,29.917124032974243,30.14071520090103,27.547314442300518,43.2744140625,34.26448220967471
InfiniGen,measured,llama31_8b_instruct,1,1024,1k,32,32,0,2.345771409571171,84.26964965322986,152.94917427070905,80.09402501899368,15.894371509552002,11.504788235635568
KVCore (sim.),simulated_placeholder,llama31_8b_instruct,1,1024,1k,32,32,0,1.6200002717971802,25.728726668357847,27.47627597714138,22.588797842686425,32.8885546875,37.00564078644869
vLLM,measured,llama31_8b_instruct,1,2048,2k,32,32,0,1.7641080617904663,58.15020430088043,58.49407480716705,27.55938323245603,43.1572265625,35.228229937670015
InfiniGen,measured,llama31_8b_instruct,1,2048,2k,32,32,0,2.3010642279405147,167.07696180557832,189.81442083748524,80.49799319930851,15.90619707107544,12.243145485804153
KVCore (sim.),simulated_placeholder,llama31_8b_instruct,1,2048,2k,32,32,0,1.5788767153024674,45.64791037619114,48.672919647043706,20.531740508179745,30.8574169921875,43.68300512271082
vLLM,measured,llama31_8b_instruct,1,6144,6k,32,32,0,1.7583857774734497,173.39055156707764,174.20689815998077,27.944016402259166,42.7509765625,35.436005701513686
InfiniGen,measured,llama31_8b_instruct,1,6144,6k,32,32,0,2.3248762409202754,468.732428266434,577.303911972763,75.92027192928828,15.95349931716919,12.653993042764192
KVCore (sim.),simulated_placeholder,llama31_8b_instruct,1,6144,6k,32,32,0,1.5297956264019013,123.10729161262512,131.10811155520153,18.722490989513638,28.643154296875,49.61040798211916
vLLM,measured,llama31_8b_instruct,8,1024,1k,32,32,0,18.259483814239502,75.62913703918457,75.7802460193634,56.11774657803739,45.7109375,108.20054903534495
InfiniGen,measured,llama31_8b_instruct,8,1024,1k,32,32,0,24.94686636305414,234.9636437559966,318.7884512646124,205.66312275701296,22.396416187286377,32.354578183296965
KVCore (sim.),simulated_placeholder,llama31_8b_instruct,8,1024,1k,32,32,0,15.977048337459564,59.36887257575989,63.05674271271229,41.80772120063786,32.6833203125,129.84065884241394
vLLM,measured,llama31_8b_instruct,8,2048,2k,32,32,0,13.413697242736816,97.16865229606628,97.35673904418945,40.919609200336836,41.9072265625,168.58343739183982
InfiniGen,measured,llama31_8b_instruct,8,2048,2k,32,32,0,24.760699742706493,554.059048612602,763.223664929159,257.8608185972138,22.491020679473877,27.576622831981375
KVCore (sim.),simulated_placeholder,llama31_8b_instruct,8,2048,2k,32,32,0,11.401642656326294,68.98974313020706,73.27068180465697,27.41613816422568,28.077841796875003,229.27347485290218
vLLM,measured,llama31_8b_instruct,8,6144,6k,32,32,0,13.602355599403381,286.88215589523315,288.09239172935486,44.50134257080888,38.7861328125,171.16582704655193
InfiniGen,measured,llama31_8b_instruct,8,6144,6k,32,32,0,24.63644545758143,1234.1604727606755,1258.5653134617023,196.74970697364148,22.869438648223877,39.80456714190132
KVCore (sim.),simulated_placeholder,llama31_8b_instruct,8,6144,6k,32,32,0,11.22194336950779,182.17016899347306,193.91498887302876,26.47829882963128,24.2413330078125,260.17205711075894
vLLM,measured,llama31_8b_instruct,16,1024,1k,32,32,0,26.966924786567688,82.93788814544678,83.18801093101501,55.00548378128828,43.6044921875,197.3571131817871
InfiniGen,measured,llama31_8b_instruct,16,1024,1k,32,32,0,50.42203628295101,517.7244983189739,533.7557854270563,456.7961505728474,29.827324390411377,31.619687686212668
KVCore (sim.),simulated_placeholder,llama31_8b_instruct,16,1024,1k,32,32,0,22.382547572851184,58.88590058326721,62.607297026681906,36.853674133463144,29.215009765625002,260.511389399959
vLLM,measured,llama31_8b_instruct,16,2048,2k,32,32,0,26.97388482093811,180.37393367290497,184.5176362991333,77.00085604994877,46.80322265625,181.5799614162708
InfiniGen,measured,llama31_8b_instruct,16,2048,2k,32,32,0,52.42864248086698,875.7962844413705,877.3991536609828,402.23138346873645,30.016533374786377,37.393815586590684
KVCore (sim.),simulated_placeholder,llama31_8b_instruct,16,2048,2k,32,32,0,21.71397728085518,114.53744788229466,124.19882099294664,45.81550934971951,29.25201416015625,268.7383428960808
vLLM,measured,llama31_8b_instruct,16,6144,6k,32,32,0,15.388619065284729,783.3191426992416,790.0555486679077,123.93261440333619,30.1376953125,125.47664321093366
InfiniGen,measured,llama31_8b_instruct,16,6144,6k,32,32,0,51.328218954615295,2258.2852304680273,2361.3960212199017,359.2637166715631,30.773369312286377,43.51558466356822
KVCore (sim.),simulated_placeholder,llama31_8b_instruct,16,6144,6k,32,32,0,12.00312287092209,438.65871991157536,468.9769736892701,64.44495948973481,17.47986328125,205.78169486593123
