method,source,model_key,output_len_bucket,batch_size,num_requests,num_completed,num_failed,status,median_ttft_s,p95_ttft_s,p99_ttft_s,median_e2e_s,p95_e2e_s,p99_e2e_s,median_tpot_ms,p95_tpot_ms,p99_tpot_ms,gpu_peak_memory_gb,decode_throughput_tok_s,request_throughput_req_s,output_label,model_label
vLLM,measured,llama31_8b_instruct,1024,16,32,32,0,ok,26.966924786567688,27.128343987464905,27.146316201686858,82.93788814544678,83.18801093101501,83.18801093101501,55.00548378128828,78.2591108473313,79.5193482355129,43.6044921875,197.3571131817871,0.19291406120955457,out1k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,1024,1,32,32,0,ok,1.7608698606491089,1.7695303201675414,1.7727470684051514,29.917124032974243,30.09328603744507,30.14071520090103,27.547314442300518,27.72474287773998,27.75974212560635,43.2744140625,34.26448220967471,0.033493094379741295,out1k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,1024,24,48,48,0,ok,46.11579775810242,88.08225002288819,115.28949443817139,168.34351420402527,168.8761763572693,168.8761763572693,119.59659143436679,160.37813428563382,163.01097495448565,34.9013671875,145.84609198533232,0.14256414652878427,out1k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,1024,8,32,32,0,ok,18.259483814239502,18.595924305915833,18.615207784175873,75.62913703918457,75.7802460193634,75.7802460193634,56.11774657803739,71.60500838565267,71.77515380303221,45.7109375,108.20054903534495,0.10576465678379321,out1k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,2048,16,32,32,0,ok,26.97388482093811,27.578480529785157,27.595934257507324,180.37393367290497,184.5176362991333,184.5176362991333,77.00085604994877,84.76989420161803,88.05656327413557,46.80322265625,181.5799614162708,0.08870404954309848,out2k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,2048,1,32,32,0,ok,1.7641080617904663,1.7733296394348144,1.7768264770507813,58.15020430088043,58.48011411428452,58.49407480716705,27.55938323245603,27.715228869222198,27.72216670440905,43.1572265625,35.228229937670015,0.01720942459362553,out2k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,2048,24,48,48,0,ok,113.05682075023651,212.6003455877304,212.62499066114427,333.8535588979721,334.3213517665863,334.3213517665863,107.80416177048595,159.68925087100016,162.31172651722517,31.462890625,147.1555395948337,0.07188766093562816,out2k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,2048,8,32,32,0,ok,13.413697242736816,13.693216621875763,13.711139647960662,97.16865229606628,97.35673904418945,97.35673904418945,40.919609200336836,46.641017119322825,46.71073900522957,41.9072265625,168.58343739183982,0.08235508734507098,out2k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,6144,16,32,32,0,ok,15.388619065284729,542.1351848125457,554.0374406814575,783.3191426992416,790.0555486679077,790.0555486679077,123.93261440333619,127.79358031306427,128.17372955005825,30.1376953125,125.47664321093366,0.02042585135977188,out6k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,6144,1,32,32,0,ok,1.7583857774734497,1.7820268869400024,1.7873123836517335,173.39055156707764,174.15627460479737,174.20689815998077,27.944016402259166,28.067872177619027,28.078220257422156,42.7509765625,35.436005701513686,0.0057684885945377025,out6k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,6144,24,48,0,48,oom,,,,,,,,,,,,,out6k,Llama-3.1-8B
vLLM,measured,llama31_8b_instruct,6144,8,32,32,0,ok,13.602355599403381,13.731973695755006,13.749994399547576,286.88215589523315,288.09239172935486,288.09239172935486,44.50134257080888,46.41563208978132,46.56275745324769,38.7861328125,171.16582704655193,0.027863414669517094,out6k,Llama-3.1-8B
vLLM,measured,mistral_7b_instruct_v03,1024,16,32,32,0,ok,25.95594561100006,27.22080762386322,27.244846584796907,79.47370445728302,80.1377546787262,80.1377546787262,51.837357172994,73.68174800667511,76.29254936705364,44.1494140625,205.9456555897025,0.20132155121034,out1k,Mistral-7B
vLLM,measured,mistral_7b_instruct_v03,1024,1,32,32,0,ok,1.7479339838027954,1.762492799758911,1.7661877107620239,27.60689878463745,27.83721126317978,27.89773102760315,25.305102366057394,25.519319779718927,25.58132027693224,43.2880859375,37.117577897285706,0.03628417573585284,out1k,Mistral-7B
vLLM,measured,mistral_7b_instruct_v03,1024,24,48,48,0,ok,23.198331236839294,91.34429044723511,91.36572231054306,135.31716406345367,135.58597779273987,135.58597779273987,109.45469875858254,129.18127621223314,130.7320674431534,36.5849609375,181.43108486426357,0.17735921293398746,out1k,Mistral-7B
vLLM,measured,mistral_7b_instruct_v03,1024,8,32,32,0,ok,13.005394101142883,13.543266999721528,13.558253371715546,51.648168325424194,51.881526470184326,51.881526470184326,37.529480433977284,48.828108669960336,49.02644581990699,43.3515625,159.72931643863123,0.15614290899759276,out1k,Mistral-7B
