model_key,model_label,output_len_bucket,output_label,batch_size,num_requests,num_completed,num_failed,status,median_ttft_s,p95_ttft_s,median_e2e_s,p95_e2e_s,median_tpot_ms,p95_tpot_ms,gpu_peak_memory_gb,decode_throughput_tok_s,request_throughput_req_s
llama31_8b_instruct,Llama-3.1-8B,1024,out1k,1,32,32,0,ok,1.7608698606491089,1.7695303201675414,29.917124032974243,30.09328603744507,27.547314442300518,27.72474287773998,43.2744140625,34.26448220967471,0.033493094379741295
llama31_8b_instruct,Llama-3.1-8B,1024,out1k,8,32,32,0,ok,18.259483814239502,18.595924305915833,75.62913703918457,75.7802460193634,56.11774657803739,71.60500838565267,45.7109375,108.20054903534495,0.10576465678379321
llama31_8b_instruct,Llama-3.1-8B,1024,out1k,16,32,32,0,ok,26.966924786567688,27.128343987464905,82.93788814544678,83.18801093101501,55.00548378128828,78.2591108473313,43.6044921875,197.3571131817871,0.19291406120955457
llama31_8b_instruct,Llama-3.1-8B,1024,out1k,24,48,48,0,ok,46.11579775810242,88.08225002288819,168.34351420402527,168.8761763572693,119.59659143436679,160.37813428563382,34.9013671875,145.84609198533232,0.14256414652878427
llama31_8b_instruct,Llama-3.1-8B,2048,out2k,1,32,32,0,ok,1.7641080617904663,1.7733296394348144,58.15020430088043,58.48011411428452,27.55938323245603,27.715228869222198,43.1572265625,35.228229937670015,0.01720942459362553
llama31_8b_instruct,Llama-3.1-8B,2048,out2k,8,32,32,0,ok,13.413697242736816,13.693216621875763,97.16865229606628,97.35673904418945,40.919609200336836,46.641017119322825,41.9072265625,168.58343739183982,0.08235508734507098
llama31_8b_instruct,Llama-3.1-8B,2048,out2k,16,32,32,0,ok,26.97388482093811,27.578480529785157,180.37393367290497,184.5176362991333,77.00085604994877,84.76989420161803,46.80322265625,181.5799614162708,0.08870404954309848
llama31_8b_instruct,Llama-3.1-8B,2048,out2k,24,48,48,0,ok,113.05682075023651,212.6003455877304,333.8535588979721,334.3213517665863,107.80416177048595,159.68925087100016,31.462890625,147.1555395948337,0.07188766093562816
llama31_8b_instruct,Llama-3.1-8B,6144,out6k,1,32,32,0,ok,1.7583857774734497,1.7820268869400024,173.39055156707764,174.15627460479737,27.944016402259166,28.067872177619027,42.7509765625,35.436005701513686,0.0057684885945377025
llama31_8b_instruct,Llama-3.1-8B,6144,out6k,8,32,32,0,ok,13.602355599403381,13.731973695755006,286.88215589523315,288.09239172935486,44.50134257080888,46.41563208978132,38.7861328125,171.16582704655193,0.027863414669517094
llama31_8b_instruct,Llama-3.1-8B,6144,out6k,16,32,32,0,ok,15.388619065284729,542.1351848125457,783.3191426992416,790.0555486679077,123.93261440333619,127.79358031306427,30.1376953125,125.47664321093366,0.02042585135977188
llama31_8b_instruct,Llama-3.1-8B,6144,out6k,24,48,0,48,oom,,,,,,,,,
mistral_7b_instruct_v03,Mistral-7B,1024,out1k,1,32,32,0,ok,1.7479339838027954,1.762492799758911,27.60689878463745,27.83721126317978,25.305102366057394,25.519319779718927,43.2880859375,37.117577897285706,0.03628417573585284
mistral_7b_instruct_v03,Mistral-7B,1024,out1k,8,32,32,0,ok,13.005394101142883,13.543266999721528,51.648168325424194,51.881526470184326,37.529480433977284,48.828108669960336,43.3515625,159.72931643863123,0.15614290899759276
mistral_7b_instruct_v03,Mistral-7B,1024,out1k,16,32,32,0,ok,25.95594561100006,27.22080762386322,79.47370445728302,80.1377546787262,51.837357172994,73.68174800667511,44.1494140625,205.9456555897025,0.20132155121034
mistral_7b_instruct_v03,Mistral-7B,1024,out1k,24,48,48,0,ok,23.198331236839294,91.34429044723511,135.31716406345367,135.58597779273987,109.45469875858254,129.18127621223314,36.5849609375,181.43108486426357,0.17735921293398746
mistral_7b_instruct_v03,Mistral-7B,2048,out2k,1,32,32,0,ok,1.7493207454681396,1.777537679672241,53.68582999706268,54.042595052719115,25.38374785920159,25.559680098312693,43.1708984375,38.112244166587466,0.018618869568276245
mistral_7b_instruct_v03,Mistral-7B,2048,out2k,8,32,32,0,ok,13.449305772781372,13.543645918369293,91.90056216716766,92.49260663986206,38.461724159654636,44.053101131759895,42.5390625,178.170290548133,0.08704104083080556
mistral_7b_instruct_v03,Mistral-7B,2048,out2k,16,32,32,0,ok,26.561477661132812,26.989036905765534,145.61770951747894,145.9693455696106,58.152302793743324,69.87448745459056,43.69140625,224.912185695858,0.10987573000118248
mistral_7b_instruct_v03,Mistral-7B,2048,out2k,24,48,48,0,ok,117.89430558681488,227.40764632225037,296.2469969987869,296.42440390586853,87.17140342716132,142.81530238083496,33.345703125,165.83029791192251,0.081013030510435
mistral_7b_instruct_v03,Mistral-7B,6144,out6k,1,32,32,0,ok,1.7333528995513916,1.7609145164489746,159.48911821842194,161.03621088266374,25.680533660404084,25.9343576369166,42.7646484375,38.69208439459428,0.006298596976355168
mistral_7b_instruct_v03,Mistral-7B,6144,out6k,8,32,32,0,ok,13.424022912979126,13.663143670558929,271.3119455575943,273.0286376476288,42.1296757931276,43.8990870542225,38.7841796875,180.88641474443608,0.029446090661691234
mistral_7b_instruct_v03,Mistral-7B,6144,out6k,16,32,32,0,ok,18.142070770263672,382.1003632068633,677.9157457351685,681.0621454715729,106.92386858551015,109.91824914833809,31.9404296875,144.98446772032295,0.02360169384230108
mistral_7b_instruct_v03,Mistral-7B,6144,out6k,24,48,0,48,oom,,,,,,,,,
qwen3_8b,Qwen3-8B,1024,out1k,1,32,32,0,ok,1.7430336475372314,1.7649040222167969,30.991223573684692,33.391204464435575,28.591360980581094,30.9253571902785,43.2783203125,32.776796571744,0.03200859040209375
qwen3_8b,Qwen3-8B,1024,out1k,8,32,32,0,ok,13.835060954093933,14.147080886363984,55.23389136791229,55.85998296737671,40.57584002337265,52.250971705566286,43.1943359375,149.24751571741749,0.1457495270677905
qwen3_8b,Qwen3-8B,1024,out1k,16,32,32,0,ok,27.7696475982666,28.194080924987794,85.87563908100128,85.9920015335083,56.913346955270484,81.31719063220952,44.0693359375,190.78538824829934,0.18631385571122983
qwen3_8b,Qwen3-8B,1024,out1k,24,48,48,0,ok,47.12537693977356,140.61338530778886,178.2987939119339,179.30831670761108,127.2374332125935,170.41151026010746,35.9248046875,137.83466374325872,0.1346041638117761
qwen3_8b,Qwen3-8B,2048,out2k,1,32,32,0,ok,1.7588207721710205,1.7705768465995788,59.53867697715759,62.75005158185959,28.230354735836144,29.794515873900146,43.1455078125,34.03745392710171,0.01661985055034263
qwen3_8b,Qwen3-8B,2048,out2k,8,32,32,0,ok,14.004830479621887,14.217640733718872,100.8487685918808,101.03664422035217,42.41857204893827,48.39295495936622,42.4130859375,162.7191340971734,0.07945270219588545
qwen3_8b,Qwen3-8B,2048,out2k,16,32,32,0,ok,28.01558554172516,28.17373309135437,203.34864592552185,203.53671741485596,85.72602900983534,98.01047130159826,42.4228515625,161.14106974502465,0.07868216296143782
qwen3_8b,Qwen3-8B,2048,out2k,24,48,48,0,ok,113.44430530071259,235.94420337677002,365.3249170780182,367.50120425224304,122.41748221396935,176.23053972582497,31.3232421875,134.5425198181324,0.06569458975494746
qwen3_8b,Qwen3-8B,6144,out6k,1,32,32,0,ok,1.7512863874435425,1.764564824104309,177.51289248466492,180.05986706018447,28.61004162548847,29.02537027360872,42.7548828125,34.56026841857289,0.005625043687918765
qwen3_8b,Qwen3-8B,6144,out6k,8,32,32,0,ok,13.941563963890076,14.05043876171112,293.0894718170166,295.65617632865906,45.67685345378505,47.41557892809158,39.716796875,167.56024125980437,0.02727217468421295
qwen3_8b,Qwen3-8B,6144,out6k,16,32,32,0,ok,15.854210257530212,538.6096813797951,772.6052904129028,774.748316526413,123.118782342305,125.31734248937079,34.21484375,127.23667790435712,0.020709094710995624
qwen3_8b,Qwen3-8B,6144,out6k,24,48,0,48,oom,,,,,,,,,
